ShortName	CHEMINF_URI	Label	subClassOf	subClassName	Description	Comment	Note
hBondDonorsDaylight	CHEMINF_001516	Hydrogen Bond Donors (Daylight)	CHEMINF_000087	electronic descriptor	Descriptor that calculates the number of hydrogen bond donors (by Daylight).	SMILES on-line tutorial, http://www.daylight.com/dayhtml_tutorials/languages/smarts/smarts_examples.html)	
isProtonInAromaticSystem	CHEMINF_001517	Proton belonging to an aromatic system	CHEMINF_000136	constitutional descriptor	Descriptor returns 1 if the protons is directly bonded to an aromatic system, it returns 2 if the distance between aromatic system and proton is 2 bonds, and it return 0 for other positions.		
isProtonInConjugatedPiSystem	CHEMINF_001518	Proton belonging to a pi-system	CHEMINF_000136	constitutional descriptor	Descriptor returns true if the protons is directly bonded to a pi system.		
kierHallSmarts	CHEMINF_001519	Kier Hall SMARTS	CHEMINF_000092	topological descriptor	Counts the number of occurrences of the E-state fragments.	http://dx.doi.org/10.3390/91201004	
mde	CHEMINF_001520	Molecular Distance Edge	CHEMINF_000092	topological descriptor	Evaluate molecular distance edge descriptors for C, N and O.	http://dx.doi.org/10.1021/ci970109z	
momentOfInertia	CHEMINF_001521	Moments of Inertia	CHEMINF_000093	geometric descriptor	Descriptor that calculates the principal moments of inertia and ratios of the principal moments. Als calculates the radius of gyration.		
partialTChargeMMFF94	CHEMINF_001522	Partial Total Charge (MMFF94)	CHEMINF_000087	electronic descriptor	Descriptor that calculates total partial charges of an heavy atom.		
period	CHEMINF_001523	Period of an atom	CHEMINF_000136	constitutional descriptor	Descriptor that returns the period in the periodic table of an atom belonging to an atom container.		
piContact	CHEMINF_001524	Pi-contact of two atoms	CHEMINF_000136	constitutional descriptor	Descriptor that check if two atoms have pi-contact (this is true when there is one and the same conjugated pi-system which contains both atoms, or directly linked neighboors of the atoms).		
protonPartialCharge	CHEMINF_001525	Proton Total Partial Charge	CHEMINF_000087	electronic descriptor	Descriptor that calculates partial charges of an heavy atom and its protons based on Gasteiger Marsili (PEOE).		
rdfProtonCalculatedValues	CHEMINF_001526	RDF Proton descriptor	CHEMINF_000092	topological descriptor	Calculation of RDF proton descriptor.	http://dx.doi.org/10.1021/ac010737m	This descriptor is a Topological Descriptor.This descriptor is a Geometrical Descriptor. This descriptor is a Electronic Descriptor 
taeAminoAcid	CHEMINF_001527	TAE RECON descriptors for amino acid sequences	CHEMINF_000087	electronic descriptor	Descriptors ({@cdk.cite BREN1995} {@cdk.cite BREN1997} {@cdk.cite WHITE2003}) derived from pre-calculated quantum mechanical parameters by using the paramaters for amino acids and evaluating a set of 147 descriptors for peptide sequences.	http://dx.doi.org/10.1016/0097-8485(94)00052-G	
weightedPath	CHEMINF_001528	Weighted Path	CHEMINF_000092	topological descriptor	The weighted path (molecular ID) descriptors described by Randic. They characterize molecular branching.		
WHIM	CHEMINF_001529	WHIM	CHEMINF_000092	topological descriptor	Holistic descriptors described by Todeschini et al.	Todeschini, R. and Gramatica, P.. New 3D Molecular Descriptors: The WHIM theory and QAR Applications, Persepectives in Drug Discovery and Design. 1998, pp. 355-380. 	Mixed descriptors: molecular size, shape, symmetry, and atom distribution and density. Uses 3D coordinates, PCA and calculates 10 descriptors…  molecular complexity? complexity descriptor [CHEMINF:000219]
